Time;mbcTimestepError;mbcTimestepErrorRelative;mbcError;mbcErrorRelative;mbcErrorCelia;mbcErrorCeliaTimestep;mbcDiffTWC;mbcDiffRelativeTWC;mbcTotalInflow;mbcDiffTWCTimestep;mbcTimestepInflow;
3600.0001;2.0743109e-19;7.6150482e-12;-2.0743109e-19;-7.6150482e-12;1.0178396;1.0178396;1.1835022e-17;4.3447809e-10;1.1627591e-17;1.1835022e-17;1.1627591e-17;
3600.0002;2.2484491e-19;8.2543306e-12;-4.32276e-19;-1.5869379e-11;1.0185884;1.0193372;2.3687458e-17;8.6959546e-10;2.3255182e-17;1.1852436e-17;1.1627591e-17;
3600.0003;2.3077746e-19;8.4721217e-12;-6.6305346e-19;-2.43415e-11;1.019008;1.0198474;3.5545827e-17;1.3049306e-09;3.4882774e-17;1.1858369e-17;1.1627591e-17;
3600.0004;2.3271969e-19;8.5434233e-12;-8.9577314e-19;-3.2884924e-11;1.0192596;1.0200144;4.7406138e-17;1.7403371e-09;4.6510365e-17;1.1860311e-17;1.1627591e-17;
3600.0005;2.3331857e-19;8.5654092e-12;-1.1290917e-18;-4.1450333e-11;1.0194209;1.0200659;5.9267048e-17;2.1757655e-09;5.8137956e-17;1.186091e-17;1.1627591e-17;
3600.0006;2.3339138e-19;8.5680818e-12;-1.3624831e-18;-5.0018415e-11;1.0195295;1.0200722;7.112803e-17;2.6111967e-09;6.9765547e-17;1.1860983e-17;1.1627591e-17;
3600.0007;2.3338146e-19;8.5677178e-12;-1.5958646e-18;-5.8586132e-11;1.0196069;1.0200714;8.2989003e-17;3.0466274e-09;8.1393138e-17;1.1860973e-17;1.1627591e-17;
3600.0008;2.3329875e-19;8.5646815e-12;-1.8291633e-18;-6.7150814e-11;1.019664;1.0200642;9.4849892e-17;3.4820551e-09;9.3020729e-17;1.186089e-17;1.1627591e-17;
3600.0009;2.3318626e-19;8.5605519e-12;-2.0623496e-18;-7.5711366e-11;1.0197074;1.0200546;1.0671067e-16;3.9174787e-09;1.0464832e-16;1.1860777e-17;1.1627591e-17;
3600.001;2.3311679e-19;8.5580015e-12;-2.2954664e-18;-8.4269367e-11;1.0197415;1.0200486;1.1857138e-16;4.3528998e-09;1.1627591e-16;1.1860708e-17;1.1627591e-17;
3600.0011;2.3300099e-19;8.5537505e-12;-2.5284673e-18;-9.2823118e-11;1.0197686;1.0200386;1.3043197e-16;4.7883166e-09;1.279035e-16;1.1860592e-17;1.1627591e-17;
3600.0012;2.3295137e-19;8.5519288e-12;-2.7614187e-18;-1.0137505e-10;1.0197907;1.0200344;1.4229251e-16;5.2237315e-09;1.3953109e-16;1.1860542e-17;1.1627591e-17;
3600.0013;2.3283889e-19;8.5477993e-12;-2.9942576e-18;-1.0992285e-10;1.0198087;1.0200247;1.5415294e-16;5.6591424e-09;1.5115868e-16;1.186043e-17;1.1627591e-17;
3600.0014;2.3278926e-19;8.5459777e-12;-3.2270469e-18;-1.1846882e-10;1.0198238;1.0200204;1.6601332e-16;6.0945514e-09;1.6278628e-16;1.186038e-17;1.1627591e-17;
3600.0015;2.3269994e-19;8.5426984e-12;-3.4597468e-18;-1.2701152e-10;1.0198364;1.0200127;1.7787361e-16;6.5299571e-09;1.7441387e-16;1.1860291e-17;1.1627591e-17;
3600.0016;2.326437e-19;8.5406338e-12;-3.6923905e-18;-1.3555216e-10;1.0198471;1.0200079;1.8973385e-16;6.9653608e-09;1.8604146e-16;1.1860235e-17;1.1627591e-17;
3600.0017;2.3259739e-19;8.5389336e-12;-3.9249879e-18;-1.4409109e-10;1.0198564;1.0200039;2.0159404e-16;7.4007628e-09;1.9766905e-16;1.1860188e-17;1.1627591e-17;
3600.0018;2.3251137e-19;8.5357758e-12;-4.1574993e-18;-1.5262686e-10;1.0198641;1.0199965;2.1345414e-16;7.8361616e-09;2.0929664e-16;1.1860102e-17;1.1627591e-17;
3600.0019;2.3246175e-19;8.5339542e-12;-4.389961e-18;-1.6116082e-10;1.0198709;1.0199923;2.2531419e-16;8.2715586e-09;2.2092423e-16;1.1860053e-17;1.1627591e-17;
3600.002;2.3241544e-19;8.532254e-12;-4.6223765e-18;-1.6969307e-10;1.0198768;1.0199883;2.371742e-16;8.7069538e-09;2.3255182e-16;1.1860006e-17;1.1627591e-17;
3600.0021;2.3234265e-19;8.5295821e-12;-4.8547191e-18;-1.7822265e-10;1.0198818;1.019982;2.4903413e-16;9.1423465e-09;2.4417941e-16;1.1859934e-17;1.1627591e-17;
3600.0022;2.3230627e-19;8.5282463e-12;-5.0870254e-18;-1.867509e-10;1.0198862;1.0199789;2.6089403e-16;9.5777377e-09;2.55807e-16;1.1859897e-17;1.1627591e-17;
3600.0023;2.3225334e-19;8.5263032e-12;-5.3192787e-18;-1.952772e-10;1.01989;1.0199743;2.7275387e-16;1.0013127e-08;2.6743459e-16;1.1859844e-17;1.1627591e-17;
3600.0024;2.3221033e-19;8.5247244e-12;-5.5514891e-18;-2.0380193e-10;1.0198934;1.0199706;2.8461367e-16;1.0448515e-08;2.7906219e-16;1.1859801e-17;1.1627591e-17;
3600.0025;2.321574e-19;8.5227813e-12;-5.7836465e-18;-2.1232471e-10;1.0198963;1.0199661;2.9647342e-16;1.0883901e-08;2.9068978e-16;1.1859748e-17;1.1627591e-17;
3600.0026;2.3212433e-19;8.521567e-12;-6.0157708e-18;-2.2084628e-10;1.0198989;1.0199632;3.0833314e-16;1.1319285e-08;3.0231737e-16;1.1859715e-17;1.1627591e-17;
3600.0027;2.3209125e-19;8.5203527e-12;-6.247862e-18;-2.2936663e-10;1.0199011;1.0199604;3.2019282e-16;1.1754669e-08;3.1394496e-16;1.1859682e-17;1.1627591e-17;
3600.0028;2.3203832e-19;8.5184096e-12;-6.4799004e-18;-2.3788504e-10;1.0199031;1.0199558;3.3205245e-16;1.219005e-08;3.2557255e-16;1.1859629e-17;1.1627591e-17;
3600.0029;2.3198539e-19;8.5164664e-12;-6.7118857e-18;-2.4640151e-10;1.0199048;1.0199513;3.4391203e-16;1.262543e-08;3.3720014e-16;1.1859576e-17;1.1627591e-17;
3600.003;2.3195893e-19;8.5154951e-12;-6.9438447e-18;-2.54917e-10;1.0199062;1.019949;3.5577158e-16;1.3060808e-08;3.4882773e-16;1.185955e-17;1.1627591e-17;
3600.0031;2.3192254e-19;8.5141593e-12;-7.1757672e-18;-2.6343116e-10;1.0199075;1.0199459;3.6763109e-16;1.3496185e-08;3.6045532e-16;1.1859513e-17;1.1627591e-17;
3600.0032;2.3189939e-19;8.5133094e-12;-7.4076666e-18;-2.7194447e-10;1.0199086;1.0199439;3.7949058e-16;1.3931562e-08;3.7208291e-16;1.185949e-17;1.1627591e-17;
3600.0033;2.3184315e-19;8.5112448e-12;-7.6395098e-18;-2.8045571e-10;1.0199096;1.0199391;3.9135001e-16;1.4366936e-08;3.837105e-16;1.1859434e-17;1.1627591e-17;
3600.0034;2.3180677e-19;8.509909e-12;-7.8713165e-18;-2.8896562e-10;1.0199103;1.0199359;4.0320941e-16;1.4802309e-08;3.9533809e-16;1.1859398e-17;1.1627591e-17;
3600.0035;2.3177369e-19;8.5086947e-12;-8.1030902e-18;-2.9747432e-10;1.019911;1.0199331;4.1506878e-16;1.5237681e-08;4.0696569e-16;1.1859365e-17;1.1627591e-17;
3600.0036;2.3173399e-19;8.5072374e-12;-8.3348242e-18;-3.0598155e-10;1.0199115;1.0199297;4.269281e-16;1.5673051e-08;4.1859328e-16;1.1859325e-17;1.1627591e-17;
3600.0037;2.3173069e-19;8.5071163e-12;-8.5665549e-18;-3.1448867e-10;1.019912;1.0199294;4.3878742e-16;1.6108421e-08;4.3022087e-16;1.1859322e-17;1.1627591e-17;
3600.0038;2.316546e-19;8.5043229e-12;-8.7982095e-18;-3.2299299e-10;1.0199123;1.0199228;4.5064667e-16;1.6543788e-08;4.4184846e-16;1.1859245e-17;1.1627591e-17;
3600.0039;2.3166123e-19;8.5045662e-12;-9.0298707e-18;-3.3149756e-10;1.0199126;1.0199234;4.6250592e-16;1.6979156e-08;4.5347605e-16;1.1859252e-17;1.1627591e-17;
3600.004;2.3162484e-19;8.5032304e-12;-9.2614956e-18;-3.4000079e-10;1.0199128;1.0199203;4.7436514e-16;1.7414522e-08;4.6510364e-16;1.1859216e-17;1.1627591e-17;
3600.0041;2.3156861e-19;8.5011658e-12;-9.4930642e-18;-3.4850195e-10;1.0199128;1.0199154;4.8622429e-16;1.7849886e-08;4.7673123e-16;1.1859159e-17;1.1627591e-17;
3600.0042;2.3155538e-19;8.5006803e-12;-9.7246196e-18;-3.5700264e-10;1.0199129;1.0199143;4.9808344e-16;1.828525e-08;4.8835882e-16;1.1859146e-17;1.1627591e-17;
3600.0043;2.3151899e-19;8.4993445e-12;-9.9561386e-18;-3.6550198e-10;1.0199128;1.0199112;5.0994255e-16;1.8720612e-08;4.9998641e-16;1.185911e-17;1.1627591e-17;
